hs8,description,total_for_all_countries,china,participation_in_us_imports_china,mexico,participation_in_us_imports_mexico,el_salvador,participation_in_us_imports_el_salvador,n°,sector,section_232,log_el_salvador,log_total_for_all_countries,log_china,log_mexico
85443000,"Insulated ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or ships",15460.1197363333,298.208144666667,0.019288863847919557,10540.3401086667,0.6817760980140098,65.8075876666667,0.0042566027164725176,1,Maquinaria y aparatos mecánicos,Yes,4.186735145766194,9.646019067023019,5.697791714723134,9.26296508994919
88073000,"Parts of aircraft of headings 8801, 8802, 8806, for airplanes, helicopters, unmanned aircraft, o/t propellers/rotors/undercarriages, nesoi",13773.0502313333,352.389703666667,0.02558545113449092,1388.443413,0.10080870901358731,4.91922433333333,0.0003571630285746169,2,Material de transporte,Yes,1.5931508622486714,9.530469079997975,5.864737675890192,7.23593855186525
94019990,"Parts of seats,  nesoi, o/than of cane etc, rubber or plastics or of wood",1676.85019266667,303.399818333333,0.18093436113743755,360.932157333333,0.2152441278963316,3.11710733333333,0.0018589062678140858,3,Muebles y mobiliario,Yes,1.1369054350121395,7.424672427282413,5.71505146814475,5.888690010847296
95079080,"Line fishing tackle nesoi, decoy birds & similar hunting or shooting equip., and parts & access. thereof",95.3360103333333,72.981145,0.7655149900318711,2.66443833333333,0.027947869058264282,4.32130933333333,0.04532714677511973,4,Juguetes y artículos de recreo,Yes,1.4635584427543609,4.557407602177075,4.290201120115153,0.9799932786825356
84195010,Brazed aluminum plate-fin heat exchangers,394.173172,60.030657,0.15229513641278458,96.836312,0.24566946428307404,1.99673266666667,0.005065622950784357,6,Maquinaria y aparatos mecánicos,Yes,0.6915121780047622,5.976790335578702,4.0948553817315965,4.5730220479080685
76109000,"Aluminum, structures and parts of structures, nesoi; aluminum plates, rods, profiles, tubes and the like prepared for use in structures",1318.209316,86.461283,0.06558994990443535,196.414506666667,0.14900100028322588,1.745928,0.0013244694744669822,7,Metalmecanica,Yes,0.5572862194537351,7.184029515806513,4.4596967183614,5.280227256057541
76151071,"Aluminum, cooking and kitchen ware (o/than cast), not enameled or glazed and not containing nonstick interior finishes",343.996029333333,243.962848333333,0.7092025126165988,0.951381,0.0027656743650320147,1.91402233333333,0.005564082635031341,8,Metalmecanica,Yes,0.6492069613709055,5.8406301146711215,5.497015952771367,-0.049840665753057165
95069920,"Football, soccer and polo articles and equipment (o/than balls), and parts & accessories thereof",117.750820666667,52.3944826666667,0.444960658193515,0.429715333333333,0.0036493616851281715,0.374787666666667,0.003182887936956538,9,Juguetes y artículos de recreo,Yes,-0.9813956355982874,4.768570702440537,3.9588012931624745,-0.84463230502743
84213200,Catalytic converters; particulate filters for internal combustion engines,3141.775589,20.934692,0.00666333142102722,2307.662686,0.7345090763578405,0.578624,0.00018417101527743777,10,Maquinaria y aparatos mecánicos,Yes,-0.5471024078672357,8.052543393285829,3.0414076871584386,7.743990467033706
84159080,"Parts for air conditioning machines, nesoi",9700.662723,1938.582981,0.1998402620888647,5250.63759966667,0.5412658649823537,0.534107,5.505881559345912e-05,11,Maquinaria y aparatos mecánicos,Yes,-0.6271590855624022,9.179949484116397,7.569712563004187,8.566104795767068
96039080,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi",832.549651,503.880843333333,0.6052261780761146,82.155783,0.09867973988256466,0.701524333333333,0.0008426216172101103,12,Manufacturas diversas,Yes,-0.35449969246697627,6.724492860916995,6.222339818161619,4.408617237623394
73221900,"Iron (o/than cast) or steel, non-electrically heated radiators and parts thereof, for central heating",16.324508,2.197219,0.13459633821736006,0.00650933333333333,0.00039874606532296894,0.417918,0.025600649036405874,13,Metalmecanica,Yes,-0.872470037950477,2.79266753688292,0.7871924698183193,-5.034518234559588
94032000,"Furniture (o/than seats) of metal nesoi, o/than of a kind used in offices",6372.81022733333,2513.20508666667,0.39436371035926926,715.756016666667,0.11231403276324635,0.666165666666667,0.00010453248141760854,14,Muebles y mobiliario,Yes,-0.4062168906258391,8.7597958172675,7.829314144506797,6.57333935004372
